home_team,away_team,home_score,home_xg,home_penalty,away_score,away_xg,away_penalty,home_manager,home_captain,away_manager,away_captain,Attendance,Venue,Officials,Round,Date,Score,Referee,Notes,Host,Year,home_goal,away_goal,home_goal_long,away_goal_long,home_own_goal,away_own_goal,home_penalty_goal,away_penalty_goal,home_penalty_miss_long,away_penalty_miss_long,home_penalty_shootout_goal_long,away_penalty_shootout_goal_long,home_penalty_shootout_miss_long,away_penalty_shootout_miss_long,home_red_card,away_red_card,home_yellow_red_card,away_yellow_red_card,home_yellow_card_long,away_yellow_card_long,home_substitute_in_long,away_substitute_in_long
Germany,Japan,1,3.1,,2,1.5,,Hansi Flick,Manuel Neuer,Hajime Moriyasu,Maya Yoshida,42608,"Khalifa International Stadium, Doha",Iván Barton (Referee) · David Morán (AR1) · Zachari Zeegelaar (AR2) · Said Martínez (4th) · Mauro Vigliano (VAR),Group stage,2022-11-23,1–2,Iván Barton,,Qatar,2022,,Ritsu Doan · 75|Takuma Asano · 83,,"['75&rsquor;|1:1|Ritsu Doan', '83&rsquor;|1:2|Takuma Asano|Assist:|Ko Itakura']",,,İlkay Gündoğan (P) · 33,,,,,,,,,,,,,,"['67&rsquor;|1:0|Jonas Hofmann|for Thomas Müller', '67&rsquor;|1:0|Leon Goretzka|for İlkay Gündoğan', '79&rsquor;|1:1|Mario Götze|for Jamal Musiala', '79&rsquor;|1:1|Niclas Füllkrug|for Kai Havertz', '90&rsquor;|1:2|Youssoufa Moukoko|for Serge Gnabry']","['46&rsquor;|1:0|Takehiro Tomiyasu|for Takefusa Kubo', '57&rsquor;|1:0|Kaoru Mitoma|for Yuto Nagatomo', '57&rsquor;|1:0|Takuma Asano|for Daizen Maeda', '71&rsquor;|1:0|Ritsu Doan|for Ao Tanaka', '74&rsquor;|1:0|Takumi Minamino|for Hiroki Sakai']"
Morocco,Croatia,0,0.4,,0,0.5,,Hoalid Regragui,Romain Saïss,Zlatko Dalić,Luka Modrić,59407,"Al Bayt Stadium, Al Khor",Fernando Rapallini (Referee) · Juan Pablo Belatti (AR1) · Diego Bonfá (AR2) · Kevin Ortega (4th) · Julio Bascuñán (VAR),Group stage,2022-11-23,0–0,Fernando Rapallini,,Qatar,2022,,,,,,,,,,,,,,,,,,,['78&rsquor;|0:0|Sofyan Amrabat'],,"['60&rsquor;|0:0|Yahya Attiat Allah|for Noussair Mazraoui', '66&rsquor;|0:0|Abdessamad Ezzalzouli|for Sofiane Boufal', '81&rsquor;|0:0|Abderrazak Hamdallah|for Youssef En-Nesyri', '82&rsquor;|0:0|Abdelhamid Sabiri|for Azzedine Ounahi']","['46&rsquor;|0:0|Mario Pašalić|for Nikola Vlašić', '71&rsquor;|0:0|Marko Livaja|for Andrej Kramarić', '79&rsquor;|0:0|Lovro Majer|for Mateo Kovačić', '90&rsquor;|0:0|Mislav Oršić|for Ivan Perišić']"
Brazil,Serbia,2,2.4,,0,0.2,,Tite,Thiago Silva,Dragan Stojković,Dušan Tadić,88103,"Lusail Iconic Stadium, Lusail",Alireza Faghani (Referee) · Mohammadreza Mansouri (AR1) · Mohammadreza Abolfazli (AR2) · Maguette Ndiaye (4th) · Abdulla Ali Al Marri (VAR),Group stage,2022-11-24,2–0,Alireza Faghani,,Qatar,2022,Richarlison · 62|Richarlison · 73,,"['62&rsquor;|1:0|Richarlison', '73&rsquor;|2:0|Richarlison|Assist:|Vinicius Júnior']",,,,,,,,,,,,,,,,,"['7&rsquor;|0:0|Strahinja Pavlović', '49&rsquor;|0:0|Nemanja Gudelj', '64&rsquor;|1:0|Saša Lukić']","['75&rsquor;|2:0|Fred|for Lucas Paquetá', '76&rsquor;|2:0|Rodrygo|for Vinicius Júnior', '79&rsquor;|2:0|Gabriel Jesus|for Richarlison', '80&rsquor;|2:0|Antony|for Neymar', '87&rsquor;|2:0|Martinelli|for Raphinha']","['57&rsquor;|0:0|Ivan Ilić|for Nemanja Gudelj', '57&rsquor;|0:0|Nemanja Radonjić|for Andrija Živković', '66&rsquor;|1:0|Darko Lazović|for Saša Lukić', '66&rsquor;|1:0|Dušan Vlahović|for Filip Mladenović', '83&rsquor;|2:0|Nemanja Maksimović|for Aleksandar Mitrović']"
Portugal,Ghana,3,2.0,,2,0.9,,Fernando Santos,Cristiano Ronaldo,Otto Addo,André Ayew,42662,"Stadium 974, Doha",Ismail Elfath (Referee) · Kyle Atkins (AR1) · Corey Parker (AR2) · Stéphanie Frappart (4th) · Armando Villarreal (VAR),Group stage,2022-11-24,3–2,Ismail Elfath,,Qatar,2022,João Félix · 78|Rafael Leão · 80,André Ayew · 73|Osman Bukari · 89,"['78&rsquor;|2:1|João Félix|Assist:|Bruno Fernandes', '80&rsquor;|3:1|Rafael Leão|Assist:|Bruno Fernandes']","['73&rsquor;|1:1|André Ayew', '89&rsquor;|3:2|Osman Bukari']",,,Cristiano Ronaldo (P) · 65,,,,,,,,,,,,"['90+1&rsquor;|3:2|Danilo Pereira', '90+5&rsquor;|3:2|Bruno Fernandes']","['45&rsquor;|0:0|Kudus Mohammed', '49&rsquor;|0:0|André Ayew', '57&rsquor;|0:0|Alidu Seidu', '90+1&rsquor;|3:2|Daniel Amartey']","['56&rsquor;|0:0|William Carvalho|for Otávio', '77&rsquor;|1:1|Rafael Leão|for Rúben Neves', '88&rsquor;|3:1|João Mário|for Cristiano Ronaldo', '88&rsquor;|3:1|Gonçalo Ramos|for João Félix', '88&rsquor;|3:1|João Palhinha|for Bernardo Silva']","['66&rsquor;|1:0|Tariq Lamptey|for Alidu Seidu', '77&rsquor;|1:1|Osman Bukari|for Kudus Mohammed', '77&rsquor;|1:1|Jordan Ayew|for André Ayew', '90+2&rsquor;|3:2|Daniel Kyereh|for Salis Abdul Samed', '90+2&rsquor;|3:2|Antoine Semenyo|for Alexander Djiku']"
Uruguay,Korea Republic,0,0.6,,0,0.6,,Diego Alonso,Diego Godín,Paulo Bento,Son Heung-min,41663,"Education City Stadium, Doha",Clément Turpin (Referee) · Nicolas Danos (AR1) · Cyril Gringore (AR2) · István Kovács (4th) · Jérôme Brisard (VAR),Group stage,2022-11-24,0–0,Clément Turpin,,Qatar,2022,,,,,,,,,,,,,,,,,,,['57&rsquor;|0:0|Martín Cáceres'],"['88&rsquor;|0:0|Cho Guesung', '90+8&rsquor;|0:0|Paulo Bento']","['64&rsquor;|0:0|Edinson Cavani|for Luis Suárez', '78&rsquor;|0:0|Nicolás De La Cruz|for Matías Vecino', '79&rsquor;|0:0|Matías Viña|for Mathías Olivera', '88&rsquor;|0:0|Guillermo Varela|for Facundo Pellistri']","['74&rsquor;|0:0|Cho Guesung|for Hwang Ui-jo', '74&rsquor;|0:0|Son Jun-ho|for Lee Jae-sung', '75&rsquor;|0:0|Lee Kangin|for Na Sang-ho']"
Switzerland,Cameroon,1,1.4,,0,0.7,,Murat Yakin,Granit Xhaka,Rigobert Song,Eric Maxim Choupo-Moting,39089,"Al Janoub Stadium, Al Wakrah",Facundo Tello (Referee) · Ezequiel Brailovsky (AR1) · Gabriel Chade (AR2) · Said Martínez (4th) · Mauro Vigliano (VAR),Group stage,2022-11-24,1–0,Facundo Tello,,Qatar,2022,Breel Embolo · 48,,['48&rsquor;|1:0|Breel Embolo|Assist:|Xherdan Shaqiri'],,,,,,,,,,,,,,,,"['64&rsquor;|1:0|Nico Elvedi', '83&rsquor;|1:0|Manuel Akanji']",['36&rsquor;|0:0|Collins Fai'],"['71&rsquor;|1:0|Fabian Frei|for Djibril Sow', '72&rsquor;|1:0|Noah Okafor|for Xherdan Shaqiri', '72&rsquor;|1:0|Haris Seferović|for Breel Embolo', '81&rsquor;|1:0|Fabian Rieder|for Ruben Vargas', '90&rsquor;|1:0|Eray Cömert|for Ricardo Rodríguez']","['68&rsquor;|1:0|Gaël Ondoua|for Martin Hongla', '74&rsquor;|1:0|Vincent Aboubakar|for Eric Maxim Choupo-Moting', ""74&rsquor;|1:0|Georges-Kévin N'Koudou|for Karl Toko Ekambi"", '81&rsquor;|1:0|Moumi Ngamaleu|for André Onana']"
Wales,IR Iran,0,0.9,,2,1.4,,Rob Page,Gareth Bale,Carlos Queiroz,Ehsan Hajsafi,40875,"Ahmed bin Ali Stadium, Umm al-Afā'ī",Mario Escobar (Referee) · Caleb Wales (AR1) · Juan Carlos Mora (AR2) · Maguette Ndiaye (4th) · Drew Fischer (VAR),Group stage,2022-11-25,0–2,Mario Escobar,,Qatar,2022,,Roozbeh Cheshmi · 90+9|Ramin Rezaeian · 90+11,,"['90+9&rsquor;|0:1|Roozbeh Cheshmi', '90+11&rsquor;|0:2|Ramin Rezaeian|Assist:|Mehdi Taremi']",,,,,,,,,,,Wayne Hennessey · 86,,,,['45+3&rsquor;|0:0|Joe Rodon'],"['90+5&rsquor;|0:0|Ramin Rezaeian', '90+5&rsquor;|0:0|Alireza Jahanbakhsh']","['57&rsquor;|0:0|Brennan Johnson|for Connor Roberts', '58&rsquor;|0:0|Daniel James|for Harry Wilson', '77&rsquor;|0:0|Joe Allen|for Ethan Ampadu', '87&rsquor;|0:0|Danny Ward|for Aaron Ramsey']","['68&rsquor;|0:0|Karim Ansarifard|for Sardar Azmoun', '77&rsquor;|0:0|Alireza Jahanbakhsh|for Ali Gholizadeh', '77&rsquor;|0:0|Mehdi Torabi|for Ehsan Hajsafi', '78&rsquor;|0:0|Roozbeh Cheshmi|for Ahmad Nourollahi', '83&rsquor;|0:0|Ali Karimi|for Saeid Ezatolahi']"
Netherlands,Ecuador,1,0.1,,1,1.7,,Louis van Gaal,Virgil van Dijk,Gustavo Alfaro,Enner Valencia,44833,"Khalifa International Stadium, Doha",Mustapha Ghorbal (Referee) · Mokrane Gourari (AR1) · Abdelhak Etchiali (AR2) · Said Martínez (4th) · Shaun Evans (VAR),Group stage,2022-11-25,1–1,Mustapha Ghorbal,,Qatar,2022,Cody Gakpo · 6,Enner Valencia · 49,['6&rsquor;|1:0|Cody Gakpo|Assist:|Davy Klaassen'],['49&rsquor;|1:1|Enner Valencia'],,,,,,,,,,,,,,,,['57&rsquor;|1:1|Jhegson Méndez'],"['46&rsquor;|1:0|Memphis|for Steven Bergwijn', '69&rsquor;|1:1|Steven Berghuis|for Davy Klaassen', '79&rsquor;|1:1|Marten de Roon|for Teun Koopmeiners', '80&rsquor;|1:1|Wout Weghorst|for Cody Gakpo']","['74&rsquor;|1:1|Jeremy Sarmiento|for Michael Estrada', '90&rsquor;|1:1|Kevin Rodríguez|for Enner Valencia', '90&rsquor;|1:1|Romario Ibarra|for Gonzalo Plata']"
Qatar,Senegal,1,1.0,,3,0.8,,Félix Sánchez,Hassan Al-Haydos,Aliou Cissé,Kalidou Koulibaly,41797,"Al Thumama Stadium, ath-Thumāma",Antonio Matéu (Referee) · Pau Cebrián (AR1) · Roberto Díaz (AR2) · Kevin Ortega (4th) · Alejandro Hernández (VAR),Group stage,2022-11-25,1–3,Antonio Matéu,,Qatar,2022,Mohammed Muntari · 78,Boulaye Dia · 41|Famara Diedhiou · 48|Bamba Dieng · 84,['78&rsquor;|1:2|Mohammed Muntari|Assist:|Ismail Mohamad'],"['41&rsquor;|0:1|Boulaye Dia', '48&rsquor;|0:2|Famara Diedhiou|Assist:|Ismail Jakobs', '84&rsquor;|1:3|Bamba Dieng|Assist:|Iliman Ndiaye']",,,,,,,,,,,,,,,"['20&rsquor;|0:0|Ismail Mohamad', '45+2&rsquor;|0:1|Homam Ahmed', '90+1&rsquor;|1:3|Assim Madibo']","['30&rsquor;|0:0|Boulaye Dia', '52&rsquor;|0:2|Ismail Jakobs', '87&rsquor;|1:3|Pathé Ciss']","['69&rsquor;|0:2|Abdulaziz Hatem|for Karim Boudiaf', '74&rsquor;|0:2|Mohammed Muntari|for Hassan Al-Haydos', '83&rsquor;|1:2|Mohammed Waad|for Homam Ahmed', '83&rsquor;|1:2|Tarek Salman|for Ró-Ró']","['64&rsquor;|0:2|Pathé Ciss|for Krépin Diatta', '74&rsquor;|0:2|Bamba Dieng|for Famara Diedhiou', '75&rsquor;|0:2|Iliman Ndiaye|for Ismaila Sarr', '77&rsquor;|0:2|Pape Abou Cissé|for Ismail Jakobs', '77&rsquor;|0:2|Pape Matar Sarr|for Nampalys Mendy']"
England,United States,0,0.8,,0,0.6,,Gareth Southgate,Harry Kane,Gregg Berhalter,Tyler Adams,68463,"Al Bayt Stadium, Al Khor",Jesús Valenzuela (Referee) · Jorge Urrego (AR1) · Tulio Moreno (AR2) · Yoshimi Yamashita (4th) · Juan Soto (VAR),Group stage,2022-11-25,0–0,Jesús Valenzuela,,Qatar,2022,,,,,,,,,,,,,,,,,,,,,"['68&rsquor;|0:0|Jack Grealish|for Raheem Sterling', '69&rsquor;|0:0|Jordan Henderson|for Jude Bellingham', '78&rsquor;|0:0|Marcus Rashford|for Bukayo Saka']","['77&rsquor;|0:0|Brenden Aaronson|for Weston McKennie', '78&rsquor;|0:0|Shaquell Moore|for Sergiño Dest', '83&rsquor;|0:0|Gio Reyna|for Timothy Weah', '83&rsquor;|0:0|Josh Sargent|for Haji Wright']"
Argentina,Mexico,2,0.3,,0,0.3,,Lionel Scaloni,Lionel Messi,Tata Martino,Andrés Guardado,88966,"Lusail Iconic Stadium, Lusail",Daniele Orsato (Referee) · Ciro Carbone (AR1) · Alessandro Giallatini (AR2) · István Kovács (4th) · Massimiliano Irrati (VAR),Group stage,2022-11-26,2–0,Daniele Orsato,,Qatar,2022,Lionel Messi · 64|Enzo Fernández · 87,,"['64&rsquor;|1:0|Lionel Messi|Assist:|Ángel Di María', '87&rsquor;|2:0|Enzo Fernández|Assist:|Lionel Messi']",,,,,,,,,,,,,,,,['43&rsquor;|0:0|Gonzalo Montiel'],"['22&rsquor;|0:0|Néstor Araujo', '50&rsquor;|0:0|Erick Gutiérrez', '66&rsquor;|1:0|Héctor Herrera', '89&rsquor;|2:0|Roberto Alvarado']","['57&rsquor;|0:0|Enzo Fernández|for Guido Rodríguez', '63&rsquor;|0:0|Julián Álvarez|for Lautaro Martínez', '63&rsquor;|0:0|Nahuel Molina|for Gonzalo Montiel', '69&rsquor;|1:0|Exequiel Palacios|for Alexis Mac Allister', '69&rsquor;|1:0|Cristian Romero|for Ángel Di María']","['42&rsquor;|0:0|Erick Gutiérrez|for Andrés Guardado', '66&rsquor;|1:0|Uriel Antuna|for Alexis Vega', '66&rsquor;|1:0|Raúl Jiménez|for Kevin Álvarez', '73&rsquor;|1:0|Roberto Alvarado|for Hirving Lozano']"
France,Denmark,2,2.4,,1,0.6,,Didier Deschamps,Hugo Lloris,Kasper Hjulmand,Kasper Schmeichel,42860,"Stadium 974, Doha",Szymon Marciniak (Referee) · Paweł Sokolnicki (AR1) · Tomasz Listkiewicz (AR2) · Ma Ning (4th) · Tomasz Kwiatkowski (VAR),Group stage,2022-11-26,2–1,Szymon Marciniak,,Qatar,2022,Kylian Mbappé · 61|Kylian Mbappé · 86,Andreas Christensen · 68,"['61&rsquor;|1:0|Kylian Mbappé|Assist:|Theo Hernández', '86&rsquor;|2:1|Kylian Mbappé|Assist:|Antoine Griezmann']",['68&rsquor;|1:1|Andreas Christensen|Assist:|Joachim Andersen'],,,,,,,,,,,,,,,['43&rsquor;|0:0|Jules Koundé'],"['20&rsquor;|0:0|Andreas Christensen', '23&rsquor;|0:0|Andreas Cornelius']","['63&rsquor;|1:0|Marcus Thuram|for Olivier Giroud', '75&rsquor;|1:1|Ibrahima Konaté|for Raphaël Varane', '75&rsquor;|1:1|Kingsley Coman|for Ousmane Dembélé', '90+3&rsquor;|2:1|Youssouf Fofana|for Antoine Griezmann']","['46&rsquor;|0:0|Martin Braithwaite|for Andreas Cornelius', '73&rsquor;|1:1|Kasper Dolberg|for Mikkel Damsgaard', '85&rsquor;|1:1|Christian Nørgaard|for Jesper Lindstrøm', '90+2&rsquor;|2:1|Alexander Bah|for Rasmus Nissen']"
Poland,Saudi Arabia,2,1.6,,0,1.7,,Czesław Michniewicz,Robert Lewandowski,Hervé Renard,Salem Al-Dawsari,44259,"Education City Stadium, Doha",Wilton Sampaio (Referee) · Bruno Boschilia (AR1) · Bruno Pires (AR2) · Kevin Ortega (4th) · Drew Fischer (VAR),Group stage,2022-11-26,2–0,Wilton Sampaio,,Qatar,2022,Piotr Zieliński · 39|Robert Lewandowski · 82,,"['39&rsquor;|1:0|Piotr Zieliński|Assist:|Robert Lewandowski', '82&rsquor;|2:0|Robert Lewandowski']",,,,,,,['45+1&rsquor;|1:0|Salem Al-Dawsari|Penalty saved by Wojciech Szczęsny'],,,,,,,,,"['15&rsquor;|0:0|Jakub Kiwior', '16&rsquor;|0:0|Matty Cash', '19&rsquor;|0:0|Arkadiusz Milik']","['20&rsquor;|0:0|Abdulellah Al-Malki', '45+4&rsquor;|1:0|Abdulelah Al-Amri']","['63&rsquor;|1:0|Jakub Kamiński|for Piotr Zieliński', '71&rsquor;|1:0|Krzysztof Piątek|for Arkadiusz Milik']","['46&rsquor;|1:0|Nawaf Al Abed|for Sami Al-Najei', '65&rsquor;|1:0|Sultan Al-Ghanam|for Mohammed Al-Breik', '85&rsquor;|2:0|Abdulrahman Al-Aboud|for Abdulellah Al-Malki', '86&rsquor;|2:0|Nasser Al-Dawsari|for Saleh Al-Shehri', '90+5&rsquor;|2:0|Hattan Bahebri|for Nawaf Al Abed']"
Tunisia,Australia,0,0.9,,1,0.6,,Jalel Kadri,Youssef Msakni,Graham Arnold,Mathew Ryan,41823,"Al Janoub Stadium, Al Wakrah",Daniel Siebert (Referee) · Rafael Foltyn (AR1) · Jan Seidel (AR2) · Said Martínez (4th) · Bastian Dankert (VAR),Group stage,2022-11-26,0–1,Daniel Siebert,,Qatar,2022,,Mitchell Duke · 23,,['23&rsquor;|0:1|Mitchell Duke|Assist:|Craig Goodwin'],,,,,,,,,,,,,,,"['26&rsquor;|0:1|Aïssa Laïdouni', '65&rsquor;|0:1|Ali Abdi', '90+3&rsquor;|0:1|Ferjani Sassi']",,"['46&rsquor;|0:1|Ferjani Sassi|for Mohamed Dräger', '67&rsquor;|0:1|Wahbi Khazri|for Aïssa Laïdouni', '73&rsquor;|0:1|Wajdi Kechrida|for Dylan Bronn', '73&rsquor;|0:1|Taha Yassine Khenissi|for Issam Jebali']","['64&rsquor;|0:1|Ajdin Hrustic|for Riley McGree', '64&rsquor;|0:1|Jamie Maclaren|for Mitchell Duke', '75&rsquor;|0:1|Miloš Degenek|for Fran Karačić', '85&rsquor;|0:1|Awer Mabil|for Craig Goodwin', '85&rsquor;|0:1|Keanu Baccus|for Mathew Leckie']"
Spain,Germany,1,0.6,,1,1.3,,Luis Enrique,Sergio Busquets,Hansi Flick,Manuel Neuer,68895,"Al Bayt Stadium, Al Khor",Danny Makkelie (Referee) · Hessel Steegstra (AR1) · Jan de Vries (AR2) · István Kovács (4th) · Pol van Boekel (VAR),Group stage,2022-11-27,1–1,Danny Makkelie,,Qatar,2022,Álvaro Morata · 62,Niclas Füllkrug · 83,['62&rsquor;|1:0|Álvaro Morata|Assist:|Jordi Alba'],['83&rsquor;|1:1|Niclas Füllkrug|Assist:|Jamal Musiala'],,,,,,,,,,,,,,,['44&rsquor;|0:0|Sergio Busquets'],"['37&rsquor;|0:0|Thilo Kehrer', '58&rsquor;|0:0|Leon Goretzka', '60&rsquor;|0:0|Joshua Kimmich']","['54&rsquor;|0:0|Álvaro Morata|for Ferrán Torres', '66&rsquor;|1:0|Koke|for Marco Asensio', '66&rsquor;|1:0|Nico Williams|for Gavi', '82&rsquor;|1:0|Alejandro Balde|for Jordi Alba']","['70&rsquor;|1:0|Lukas Klostermann|for Thilo Kehrer', '70&rsquor;|1:0|Niclas Füllkrug|for Thomas Müller', '70&rsquor;|1:0|Leroy Sané|for İlkay Gündoğan', '85&rsquor;|1:1|Jonas Hofmann|for Serge Gnabry', '87&rsquor;|1:1|Nico Schlotterbeck|for David Raum']"
Croatia,Canada,4,2.6,,1,0.4,,Zlatko Dalić,Luka Modrić,John Herdman,Atiba Hutchinson,44374,"Khalifa International Stadium, Doha",Andrés Matonte (Referee) · Nicolás Tarán (AR1) · Martín Soppi (AR2) · Kevin Ortega (4th) · Mauro Vigliano (VAR),Group stage,2022-11-27,4–1,Andrés Matonte,,Qatar,2022,Andrej Kramarić · 36|Marko Livaja · 44|Andrej Kramarić · 70|Lovro Majer · 90+4,Alphonso Davies · 2,"['36&rsquor;|1:1|Andrej Kramarić|Assist:|Ivan Perišić', '44&rsquor;|2:1|Marko Livaja|Assist:|Josip Juranović', '70&rsquor;|3:1|Andrej Kramarić|Assist:|Ivan Perišić', '90+4&rsquor;|4:1|Lovro Majer|Assist:|Mislav Oršić']",['2&rsquor;|0:1|Alphonso Davies|Assist:|Tajon Buchanan'],,,,,,,,,,,,,,,"['56&rsquor;|2:1|Dejan Lovren', '85&rsquor;|3:1|Luka Modrić']","['52&rsquor;|2:1|Tajon Buchanan', '85&rsquor;|3:1|Kamal Miller']","['60&rsquor;|2:1|Bruno Petković|for Marko Livaja', '73&rsquor;|3:1|Nikola Vlašić|for Andrej Kramarić', '86&rsquor;|3:1|Mislav Oršić|for Ivan Perišić', '86&rsquor;|3:1|Lovro Majer|for Luka Modrić', '86&rsquor;|3:1|Mario Pašalić|for Mateo Kovačić']","['46&rsquor;|2:1|Ismaël Koné|for Stephen Eustáquio', '46&rsquor;|2:1|Jonathan Osorio|for Cyle Larin', '62&rsquor;|2:1|Junior Hoilett|for Richie Laryea', '72&rsquor;|3:1|Lucas Cavallini|for Jonathan David', '72&rsquor;|3:1|Sam Adekugbe|for Atiba Hutchinson']"
Belgium,Morocco,0,1.0,,2,1.5,,Roberto Martínez,Eden Hazard,Hoalid Regragui,Romain Saïss,43738,"Al Thumama Stadium, ath-Thumāma",César Arturo Ramos (Referee) · Alberto Morín (AR1) · Miguel Ángel Hernández (AR2) · Yoshimi Yamashita (4th) · Fernando Guerrero (VAR),Group stage,2022-11-27,0–2,César Arturo Ramos,,Qatar,2022,,Romain Saïss · 73|Zakaria Aboukhlal · 90+2,,"['73&rsquor;|0:1|Romain Saïss|Assist:|Abdelhamid Sabiri', '90+2&rsquor;|0:2|Zakaria Aboukhlal|Assist:|Hakim Ziyech']",,,,,,,,,,,,,,,['28&rsquor;|0:0|Amadou Onana'],['90+5&rsquor;|0:2|Abdelhamid Sabiri'],"['60&rsquor;|0:0|Youri Tielemans|for Amadou Onana', '60&rsquor;|0:0|Dries Mertens|for Eden Hazard', '75&rsquor;|0:1|Leandro Trossard|for Michy Batshuayi', '75&rsquor;|0:1|Charles De Ketelaere|for Thorgan Hazard', '81&rsquor;|0:1|Romelu Lukaku|for Thomas Meunier']","['67&rsquor;|0:0|Abdelhamid Sabiri|for Selim Amallah', '68&rsquor;|0:0|Yahya Attiat Allah|for Achraf Hakimi', '73&rsquor;|0:1|Abderrazak Hamdallah|for Youssef En-Nesyri', '73&rsquor;|0:1|Zakaria Aboukhlal|for Sofiane Boufal', '78&rsquor;|0:1|Jawad El Yamiq|for Azzedine Ounahi']"
Japan,Costa Rica,0,0.9,,1,0.1,,Hajime Moriyasu,Maya Yoshida,Luis Fernando Suárez,Keylor Navas,41479,"Ahmed bin Ali Stadium, Umm al-Afā'ī",Michael Oliver (Referee) · Stuart Burt (AR1) · Simon Bennett (AR2) · Maguette Ndiaye (4th) · Jérôme Brisard (VAR),Group stage,2022-11-27,0–1,Michael Oliver,,Qatar,2022,,Keysher Fuller · 81,,['81&rsquor;|0:1|Keysher Fuller|Assist:|Yeltsin Tejeda'],,,,,,,,,,,,,,,"['44&rsquor;|0:0|Miki Yamane', '84&rsquor;|0:1|Ko Itakura', '90+3&rsquor;|0:1|Wataru Endo']","['41&rsquor;|0:0|Anthony Contreras', '62&rsquor;|0:0|Celso Borges', '70&rsquor;|0:0|Francisco Calvo']","['46&rsquor;|0:0|Takuma Asano|for Ayase Ueda', '46&rsquor;|0:0|Hiroki Ito|for Yuto Nagatomo', '62&rsquor;|0:0|Kaoru Mitoma|for Miki Yamane', '67&rsquor;|0:0|Junya Ito|for Ritsu Doan', '82&rsquor;|0:1|Takumi Minamino|for Yuki Soma']","['65&rsquor;|0:0|Jewison Bennette|for Anthony Contreras', '65&rsquor;|0:0|Brandon Aguilera|for Gerson Torres', '89&rsquor;|0:1|Youstin Salas|for Celso Borges', '90+5&rsquor;|0:1|Daniel Chacón|for Joel Campbell']"
Korea Republic,Ghana,2,1.8,,3,1.6,,Paulo Bento,Son Heung-min,Otto Addo,André Ayew,43983,"Education City Stadium, Doha",Anthony Taylor (Referee) · Gary Beswick (AR1) · Adam Nunn (AR2) · Kevin Ortega (4th) · Tomasz Kwiatkowski (VAR),Group stage,2022-11-28,2–3,Anthony Taylor,,Qatar,2022,Cho Guesung · 58|Cho Guesung · 61,Mohammed Salisu · 24|Kudus Mohammed · 34|Kudus Mohammed · 68,"['58&rsquor;|1:2|Cho Guesung|Assist:|Lee Kangin', '61&rsquor;|2:2|Cho Guesung|Assist:|Kim Jin-su']","['24&rsquor;|0:1|Mohammed Salisu', '34&rsquor;|0:2|Kudus Mohammed|Assist:|Jordan Ayew', '68&rsquor;|2:3|Kudus Mohammed|Assist:|Gideon Mensah']",,,,,,,,,,,Paulo Bento · 90+11,,,,"['27&rsquor;|0:1|Jung Woo-young', '77&rsquor;|2:3|Kim Young-gwon']","['21&rsquor;|0:0|Daniel Amartey', '73&rsquor;|2:3|Tariq Lamptey']","['46&rsquor;|0:2|Na Sang-ho|for Jeong Woo-yeong', '57&rsquor;|0:2|Lee Kangin|for Kwon Chang-hoon', '79&rsquor;|2:3|Hwang Ui-jo|for Jung Woo-young', '90+2&rsquor;|2:3|Kwon Kyung-won|for Kim Min-jae']","['78&rsquor;|2:3|Daniel Kyereh|for André Ayew', '78&rsquor;|2:3|Denis Odoi|for Tariq Lamptey', '78&rsquor;|2:3|Kamaldeen Sulemana|for Jordan Ayew', '83&rsquor;|2:3|Alexander Djiku|for Kudus Mohammed', '88&rsquor;|2:3|Baba Rahman|for Gideon Mensah']"
Portugal,Uruguay,2,1.3,,0,1.3,,Fernando Santos,Cristiano Ronaldo,Diego Alonso,Diego Godín,88668,"Lusail Iconic Stadium, Lusail",Alireza Faghani (Referee) · Mohammadreza Mansouri (AR1) · Mohammadreza Abolfazli (AR2) · Abdulrahman Ibrahim Al Jassim (4th) · Abdulla Ali Al Marri (VAR),Group stage,2022-11-28,2–0,Alireza Faghani,,Qatar,2022,Bruno Fernandes · 54,,['54&rsquor;|1:0|Bruno Fernandes|Assist:|Raphaël Guerreiro'],,,,Bruno Fernandes (P) · 90+3,,,,,,,,,,,,"['38&rsquor;|0:0|Rúben Neves', '77&rsquor;|1:0|João Félix', '89&rsquor;|1:0|Rúben Dias']","['6&rsquor;|0:0|Rodrigo Bentancur', '44&rsquor;|0:0|Mathías Olivera']","['42&rsquor;|0:0|Raphaël Guerreiro|for Nuno Mendes', '69&rsquor;|1:0|Rafael Leão|for Rúben Neves', '82&rsquor;|1:0|Matheus Nunes|for João Félix', '82&rsquor;|1:0|Gonçalo Ramos|for Cristiano Ronaldo', '82&rsquor;|1:0|João Palhinha|for William Carvalho']","['62&rsquor;|1:0|Giorgian De Arrascaeta|for Matías Vecino', '62&rsquor;|1:0|Facundo Pellistri|for Diego Godín', '72&rsquor;|1:0|Maxi Gómez|for Darwin Núñez', '73&rsquor;|1:0|Luis Suárez|for Edinson Cavani', '86&rsquor;|1:0|Matías Viña|for Mathías Olivera']"
